user_id,stage,conversion,conversion_label
user_0,homepage,True,Converted
user_1,homepage,True,Converted
user_2,homepage,True,Converted
user_3,homepage,True,Converted
user_4,homepage,True,Converted
user_5,homepage,True,Converted
user_6,homepage,True,Converted
user_7,homepage,True,Converted
user_8,homepage,True,Converted
user_9,homepage,True,Converted
user_10,homepage,True,Converted
user_11,homepage,True,Converted
user_12,homepage,True,Converted
user_13,homepage,True,Converted
user_14,homepage,True,Converted
user_15,homepage,True,Converted
user_16,homepage,True,Converted
user_17,homepage,True,Converted
user_18,homepage,True,Converted
user_19,homepage,True,Converted
user_20,homepage,True,Converted
user_21,homepage,True,Converted
user_22,homepage,True,Converted
user_23,homepage,True,Converted
user_24,homepage,True,Converted
user_25,homepage,True,Converted
user_26,homepage,True,Converted
user_27,homepage,True,Converted
user_28,homepage,True,Converted
user_29,homepage,True,Converted
user_30,homepage,True,Converted
user_31,homepage,True,Converted
user_32,homepage,True,Converted
user_33,homepage,True,Converted
user_34,homepage,True,Converted
user_35,homepage,True,Converted
user_36,homepage,True,Converted
user_37,homepage,True,Converted
user_38,homepage,True,Converted
user_39,homepage,True,Converted
user_40,homepage,True,Converted
user_41,homepage,True,Converted
user_42,homepage,True,Converted
user_43,homepage,True,Converted
user_44,homepage,True,Converted
user_45,homepage,True,Converted
user_46,homepage,True,Converted
user_47,homepage,True,Converted
user_48,homepage,True,Converted
user_49,homepage,True,Converted
user_50,homepage,True,Converted
user_51,homepage,True,Converted
user_52,homepage,True,Converted
user_53,homepage,True,Converted
user_54,homepage,True,Converted
user_55,homepage,True,Converted
user_56,homepage,True,Converted
user_57,homepage,True,Converted
user_58,homepage,True,Converted
user_59,homepage,True,Converted
user_60,homepage,True,Converted
user_61,homepage,True,Converted
user_62,homepage,True,Converted
user_63,homepage,True,Converted
user_64,homepage,True,Converted
user_65,homepage,True,Converted
user_66,homepage,True,Converted
user_67,homepage,True,Converted
user_68,homepage,True,Converted
user_69,homepage,True,Converted
user_70,homepage,True,Converted
user_71,homepage,True,Converted
user_72,homepage,True,Converted
user_73,homepage,True,Converted
user_74,homepage,True,Converted
user_75,homepage,True,Converted
user_76,homepage,True,Converted
user_77,homepage,True,Converted
user_78,homepage,True,Converted
user_79,homepage,True,Converted
user_80,homepage,True,Converted
user_81,homepage,True,Converted
user_82,homepage,True,Converted
user_83,homepage,True,Converted
user_84,homepage,True,Converted
user_85,homepage,True,Converted
user_86,homepage,True,Converted
user_87,homepage,True,Converted
user_88,homepage,True,Converted
user_89,homepage,True,Converted
user_90,homepage,True,Converted
user_91,homepage,True,Converted
user_92,homepage,True,Converted
user_93,homepage,True,Converted
user_94,homepage,True,Converted
user_95,homepage,True,Converted
user_96,homepage,True,Converted
user_97,homepage,True,Converted
user_98,homepage,True,Converted
user_99,homepage,True,Converted
